	sentence	killer_gold	medion_time
0	this wo n't help do n't you see nickwarrick and sara get out of their cars and make their way past the gathering police cars	N	00:00:02.227
1	after me there 'll be others they head toward the warehouse and meet up with det o'riley	N	00:00:03.641
2	you 'll have to go on killing on and on until they catch you detective	N	00:00:06.275
3	i wo n't be the last guys	N	00:00:08.784
4	there 'll be others after me who called it in	N	00:00:09.974
5	you ca n't help yourself because you 're mad mad mad they walk under the crime scene tape toward det o'riley	N	00:00:11.574
6	no one will question you passing motorist heard gunshots	N	00:00:12.825
7	they 'll say it 's just another suicide first officer did a drive up	N	00:00:13.089
8	hello called in the world	N	00:00:13.618
9	hello why 's that	N	00:00:14.146
10	you 're gon na be here awhile	N	00:04:41.024
11	shh the csis look at the scene inside in amazement	N	00:00:18.595
12	turn it off in the middle of the empty warehouse is the body lying face down on the floor	N	00:00:19.915
13	burgess they walk inside toward the body	N	00:00:21.495
14	burgess we got an i.d	N	00:00:21.495
15	burgess no cash no i.d just a driver 's permit	N	00:00:27.474
16	burgess warrick leans forward and looks at the body	N	00:00:31.068
17	excuse me sir timmymccallum	Y	00:00:36.627
18	i 'm going to have to ask you to turn the phone off coroner 's on his way	N	00:00:38.761
19	sir there 's casings and blood everywhere	N	00:00:40.327
20	i 'll have to warrick stands up and turns around to sara and nick	N	00:00:41.061
21	whoo sara heads outside	N	00:00:48.996
22	theaters are like nightclubs they should always keep the lights off i 'm dennis rodman	N	00:00:52.191
23	this is the last art house left in vegas warrick turns back toward the body	N	00:00:54.857
24	i saw baraka here on a double bill with koyaanisqatsi i 'll take everything below the knees	N	00:00:56.732
25	was there anyone else here nick stands in the middle of the warehouse and looks at the bullet-riddled walls with the sunlight streaming through them	N	00:00:58.236
26	sure cut to nick starts to mark every bullet hole with a marker rod	N	00:00:59.111
27	with you dissolve to nick stands on a ladder and continues to mark the bullet holes with marker rods	N	00:01:00.036
28	no he 's about halfway done with the first wall	N	00:01:00.751
29	thursday night is noir night it 's the first of many beer bottles	N	00:01:02.174
30	the poor sap was slumped over like a sack of potatoes oozing blood like a broken bottle of ketchup he caps the container and marks it	N	00:01:07.194
31	his name is gus sugarman she looks up where she sees the end of a long bamboo pole sticking out the side of the rooftop	N	00:01:14.847
32	runs a dental practice in henderson warrick has evidence markers on the ground next to each of the bullet shell casings that he finds	N	00:01:16.642
33	cell phone went off three times during the movie he kneels down and puts marker 40 down	N	00:01:18.815
34	so the usher finally came over to shut him up he looks around	N	00:01:21.394
35	yeah somebody beat him to it warrick takes a step over some markers and puts marker 63 down on the ground	N	00:01:23.694
36	single puncture wound to the base of the skull dissolve to warrick puts down evidence markers 68 and 69 down on the ground	N	00:01:27.359
37	and nobody saw anything behind him the coroner 's office wheels out the victim 's body on a gurney	N	00:01:29.815
38	they were watching the movie he looks around for more bullet casings	N	00:01:30.967
39	dark room sara walks into the warehouse carrying a very long bamboo pole	N	00:01:31.578
40	loud music nick is on the ladder and finishing up the final wall	N	00:01:32.735
41	four exits hey guys	N	00:01:33.892
42	everybody looking the other way what do you make of this piece of bamboo	N	00:01:35.050
43	professional killer i found it on the roof	N	00:01:36.677
44	or a movie buff bag it	N	00:01:38.512
45	it was build my gallows high with robert mitchum 1947 it looks like small pieces of glass	N	00:02:12.435
46	it was out of the past with robert mitchum and janegreer and kirkdouglas he walks in for a closer look	N	00:02:15.280
47	trust me the book was build my gallows high sara look up and notices something in the ceiling	N	00:02:17.895
48	mr siskel mr ebert may i have a cause of death please did you get the hole in the roof	N	00:02:20.520
49	puncture wound is small you find anything else up there	N	00:02:24.335
50	not a knife no	N	00:02:27.736
51	seems like it penetrated all the way to the brain stem and there 's some bruising around the mouth got some shards of glass	N	00:02:31.771
52	well the killer could have stood over him placed his hand over his mouth stabbed him in the back of the head clear in color	N	00:02:36.324
53	did n't telly savalas do that in the dirty dozen what 's your count	N	00:02:40.069
54	anthony quinn did it too in guns of navaronne yeah	N	00:02:42.157
55	right 109 rods	N	00:02:43.672
56	well what movie did you see this in 109 bullets	N	00:02:45.695
57	looks like somebody ripped something off his neck what in the hell went on here	N	00:02:49.654
58	small patterns could have been a chain maybe huh robbins pulls the sheet on the body down to show warrick the victim 's torso and the purple bruises on it	N	00:02:52.195
59	or necklace each one around two inches in diameter	N	00:02:54.207
60	oh i stopped counting around nine	N	00:02:55.261
61	butterfingers baseball bat	N	00:02:56.694
62	what 'd you got yeah	N	00:03:07.614
63	well whoever called him did n't leave their number cause of death single gunshot to the chest	N	00:03:10.234
64	hey quick flashback to timmymccallum is having a beer with his friend	Y	00:03:27.354
65	i was n't the only one who dropped something tonight someone stands at the top of the warehouse and shoots	N	00:03:29.835
66	i got a witness end of flashback	N	00:03:33.634
67	i only noticed cause she got up during the best part of the movie right before the gunfight rooftop angle is 45 degrees	Y	00:03:36.414
68	is the gunfight loud this is 25 degrees	N	00:03:39.154
69	yeah it 's impossible	N	00:03:40.394
70	i mean it 's not thx surround-sound if that 's the case he was shot by somebody 10 to 15 feet tall	Y	00:03:42.027
71	this was 1950 and mono optical track what else you got	N	00:03:44.082
72	i like how loud this theater keeps it scabbing abrasions on the elbows the back and kneecaps	N	00:03:46.094
73	perfect moment to do it robbins lifts the sheet to expose the victim 's right leg	N	00:03:47.827
74	cover up any noise the victim might make looks to be harmless boys will be boys stuff	N	00:03:49.321
75	you get a look at her there 's nothing harmless about death	Y	00:03:50.809
76	i drove forty minutes to see this flick my eyes were on the screen but uh she was tall not old a redhead sara prints the bamboo rod round at the warehouse rooftop	Y	00:03:55.335
77	did she come back in this where the limbo party is	Y	00:03:59.794
78	no sara looks up toward the door and sees warrick standing outside just beyond the crime scene tape sara stuck across the door	N	00:04:00.996
