For Warrick,"1. CSI: Crime Scene Investigation (2000–2015) Episode: For Warrick (2008) TV-14 | 45 min | Crime, Drama, Mystery 9.0 Rate this CSIs past and present come together at the news of Warrick's death. But will Warrick's real killer successfully frame another police officer for his murder? Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 1,083"
One to Go,"2. CSI: Crime Scene Investigation (2000–2015) Episode: One to Go (2009) TV-14 | 44 min | Crime, Drama, Mystery 8.9 Rate this Grissom gets Dr. Langston's help to find the man who is carrying on the serial killer's work before the next victim is killed. The case will prove to be Grissom's last with the crime lab. Director: Alec Smight | Stars: William Petersen , Marg Helgenberger , George Eads , Eric Szmanda Votes: 862"
Living Doll,"3. CSI: Crime Scene Investigation (2000–2015) Episode: Living Doll (2007) TV-PG | 44 min | Crime, Drama, Mystery 8.9 Rate this The miniature killer is ready to strike again, and Sara will be the next victim. Will CSI stop her in time? Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 997"
Girls Gone Gadgets,"4. CSI: Crime Scene Investigation (2000–2015) Episode: Girls Gone Gadgets (2015) TV-14 | 4 min | Crime, Drama, Mystery 8.8 Rate this Add a Plot Stars: Andi Brittan , Andrew Dettmann , Jorja Fox , Elisabeth Harnois Votes: 7"
Gum Drops,"5. CSI: Crime Scene Investigation (2000–2015) Episode: Gum Drops (2005) TV-14 | 45 min | Crime, Drama, Mystery 8.8 Rate this With Grissom teaching at a conference, Nick Stokes and the remaining CSIs investigate a murder of a family in a house in a small town outside Las Vegas. In the house there is evidence of ... See full summary » Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 992"
Willows in the Wind,"6. CSI: Crime Scene Investigation (2000–2015) Episode: Willows in the Wind (2012) TV-14 | 44 min | Crime, Drama, Mystery 8.7 Rate this Catherine goes into hiding with D.B. after Mark Gabriel's hitmen try to kill her, but they soon come to the realization that Gabriel himself may not be calling the shots. Director: Alec Smight | Stars: Ted Danson , Marg Helgenberger , George Eads , Jorja Fox Votes: 739"
For Gedda,"7. CSI: Crime Scene Investigation (2000–2015) Episode: For Gedda (2008) TV-14 | 45 min | Crime, Drama, Mystery 8.7 Rate this A mobster that Warrick had a run-in with is found dead, and Warrick is found at the scene with the murder weapon. However, he insists that he has no recollection of the crime. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 904"
Monster in the Box,"8. CSI: Crime Scene Investigation (2000–2015) Episode: Monster in the Box (2007) TV-PG | 55 min | Crime, Drama, Mystery 8.7 Rate this Grissom thinks the miniature killer is dead, until he receives another miniature crime scene. However, unlike the others, this one predicts a crime scene that hasn't happened yet. Director: Jeffrey G. Hunt | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 780"
Law of Gravity,"9. CSI: Crime Scene Investigation (2000–2015) Episode: Law of Gravity (2007) TV-14 | 44 min | Crime, Drama, Mystery 8.7 Rate this When one Trenton cop is murdered in Las Vegas, a second threatens to expose Keppler's past if he doesn't make the case and the evidence go away. Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 834"
Blood Drops,"10. CSI: Crime Scene Investigation (2000–2015) Episode: Blood Drops (2000) TV-14 | 45 min | Crime, Drama, Mystery 8.7 Rate this The team is called to a suburban house where the whole family, except the two daughters, have been murdered with no apparent motive. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 1,173"
Ms. Willows Regrets,"11. CSI: Crime Scene Investigation (2000–2015) Episode: Ms. Willows Regrets (2012) TV-14 | 44 min | Crime, Drama, Mystery 8.6 Rate this The skeletal remains of three people are found in the desert. Initially beetle evidence implies they had been dead at least a week but other factors contradict that. They bodies were ... See full summary » Director: Louis Shaw Milito | Stars: Ted Danson , Marg Helgenberger , George Eads , Jorja Fox Votes: 687"
