No. overall,No. in season,Title,Directed by,Written by,Original air date,US viewers (millions)
252,1,"""73 Seconds""",Alec Smight,Gavin Harris,"September 21, 2011",12.74 [251]
253,2,"""Tell-Tale Hearts""",Brad Tanenbaum,Story by : Larry M. Mitchell Teleplay by : Joe Pokaski,"September 28, 2011",11.76 [252]
254,3,"""Bittersweet""",Frank Waldeck,Melissa R. Byer & Treena Hancock,"October 5, 2011",11.98 [253]
255,4,"""Maid Man""",Martha Coolidge,Dustin Lee Abraham,"October 12, 2011",10.93 [254]
256,5,"""CSI Down""",Jeffrey Hunt,Story by : Gavin Harris Teleplay by : Tom Mularz,"October 19, 2011",10.79 [255]
257,6,"""Freaks & Geeks""",Alec Smight,Christopher Barbour,"November 2, 2011",10.79 [256]
258,7,"""Brain Doe""",Brad Tanenbaum,Gavin Harris,"November 9, 2011",10.16 [257]
259,8,"""Crime After Crime""",Paul McCrane,Story by : Richard Catalani Teleplay by : Tom Mularz,"November 16, 2011",10.60 [258]
260,9,"""Zippered""",Alec Smight,Joe Pokaski,"December 7, 2011",11.14 [259]
261,10,"""Genetic Disorder""",Frank Waldeck,Elizabeth Devine,"December 14, 2011",12.23 [260]
262,11,"""Ms. Willows Regrets""",Louis Shaw Milito,Story by : Christopher Barbour Teleplay by : Christopher Barbour & Don McGill,"January 18, 2012",12.02 [261]
263,12,"""Willows in the Wind""",Alec Smight,Story by : Carol Mendelsohn & Don McGill Teleplay by : Christopher Barbour & Richard Catalani,"January 25, 2012",14.26 [262]
264,13,"""Tressed to Kill""",Brad Tanenbaum,Ed Whitmore,"February 8, 2012",10.88 [263]
265,14,"""Seeing Red""",Frank Waldeck,Christopher Barbour & Tom Mularz,"February 15, 2012",11.09 [264]
266,15,"""Stealing Home""",Alec Smight,Treena Hancock & Melissa R. Byer,"February 22, 2012",11.91 [265]
267,16,"""CSI Unplugged""",Jeffrey Hunt,Gavin Harris,"February 29, 2012",11.30 [266]
268,17,"""Trends with Benefits""",Louis Shaw Milito,Jack Gutowitz,"March 14, 2012",11.71 [267]
269,18,"""Malice in Wonderland""",Alec Smight,Joe Pokaski,"March 21, 2012",11.38 [268]
270,19,"""Split Decisions""",Brad Tanenbaum,Michael F.X. Daley & Richard Catalani,"April 4, 2012",12.06 [269]
271,20,"""Altered Stakes""",David Semel,Story by : Melissa R. Byer & Treena Hancock Teleplay by : Elizabeth Devine,"April 11, 2012",9.94 [270]
272,21,"""Dune and Gloom""",Jeffrey Hunt,Tom Mularz,"May 2, 2012",9.75 [271]
273,22,"""Homecoming""",Alec Smight,Story by : Christopher Barbour & Larry M. Mitchell Teleplay by : Christopher Barbour & Don McGill,"May 9, 2012",10.73 [272]
