No. overall,No. in season,Title,Directed by,Written by,Original air date,US viewers (millions),US viewers (millions)
70,1,Assume Nothing,Richard J. Lewis,Anthony E. Zuiker & Danny Cannon,"September 25, 2003",26.91 [70],30.47 [47]
71,2,All for Our Country,Richard J. Lewis,Story by : Richard Catalani Teleplay by : Andrew Lipsitz & Carol Mendelsohn,"October 2, 2003",26.66 [71],28.46 [48]
72,3,Homebodies,Kenneth Fink,Naren Shankar & Sarah Goldfinger,"October 9, 2003",26.53 [72],29.90 [49]
73,4,Feeling the Heat,Kenneth Fink,Anthony E. Zuiker & Eli Talbert,"October 23, 2003",27.57 [73],30.81 [50]
74,5, Fur and Loathing ,Richard J. Lewis,Jerry Stahl,"October 30, 2003",27.35 [74],28.95 [51]
75,6,Jackpot,Danny Cannon,Naren Shankar & Carol Mendelsohn,"November 6, 2003",29.64 [75],27.86 [52]
76,7,Invisible Evidence,Danny Cannon,Josh Berman,"November 13, 2003",29.27 [76],29.94 [53]
77,8,After the Show,Kenneth Fink,Andrew Lipsitz & Elizabeth Devine,"November 20, 2003",26.64 [77],25.97 [54]
78,9,Grissom Versus the Volcano,Richard J. Lewis,Story by : Josh Berman Teleplay by : Anthony E. Zuiker & Carol Mendelsohn,"December 11, 2003",26.80 [78],29.74 [55]
79,10,Coming of Rage,Nelson McCormick,Story by : Richard Catalani Teleplay by : Sarah Goldfinger,"December 18, 2003",24.69 [79],25.89 [56]
80,11,Eleven Angry Jurors,Matt Earl Beesley,Josh Berman & Andrew Lipsitz,"January 8, 2004",27.48 [80],25.48 [57]
81,12,Butterflied,Richard J. Lewis,David Rambo,"January 15, 2004",28.74 [81],27.87 [58]
82,13,Suckers,Danny Cannon,Danny Cannon & Josh Berman,"February 5, 2004",29.27 [82],27.48 [59]
83,14,Paper or Plastic?,Kenneth Fink,Naren Shankar,"February 12, 2004",30.71 [83],25.60 [60]
84,15,Early Rollout,Duane Clark,Story by : Elizabeth Devine Teleplay by : Anthony E. Zuiker & Carol Mendelsohn,"February 19, 2004",30.87 [84],27.21 [61]
85,16,Getting Off,Kenneth Fink,Jerry Stahl,"February 26, 2004",28.01 [85],27.95 [62]
86,17,XX,Deran Sarafian,Ethlie Ann Vare,"March 11, 2004",27.40 [86],28.60 [63]
87,18,Bad to the Bone,David Grossman,Eli Talbert,"April 1, 2004",26.47 [87],26.37 [64]
88,19,Bad Words,Rob Bailey,Sarah Goldfinger,"April 15, 2004",23.79 [88],26.45 [65]
89,20,Dead Ringer,Kenneth Fink,Elizabeth Devine,"April 29, 2004",26.37 [89],25.22 [66]
90,21,Turn of the Screws,Deran Sarafian,Story by : Carol Mendelsohn & Richard Catalani Teleplay by : Josh Berman,"May 6, 2004",20.39 [90],22.66 [67]
91,22,No More Bets,Richard J. Lewis,Story by : Andrew Lipsitz & Dustin Lee Abraham Teleplay by : Naren Shankar & Carol Mendelsohn & Judith McCreary,"May 13, 2004",22.52 [91],25.10 [68]
92,23,Bloodlines,Kenneth Fink,Story by : Eli Talbert & Sarah Goldfinger Teleplay by : Carol Mendelsohn & Naren Shankar,"May 20, 2004",25.40 [92],23.87 [69]
