No. overall,No. in season,Title,Directed by,Written by,Original air date,Prod. code,US viewers (millions)
93,1,""" Viva Las Vegas """,Danny Cannon,Danny Cannon & Carol Mendelsohn,"September 23, 2004",501,30.57 [93]
94,2,"""Down the Drain""",Kenneth Fink,Naren Shankar,"October 7, 2004",502,28.43 [94]
95,3,""" Harvest """,David Grossman,Judith McCreary,"October 14, 2004",503,28.89 [95]
96,4,"""Crow's Feet""",Richard J. Lewis,Josh Berman,"October 21, 2004",504,26.54 [96]
97,5,""" Swap Meet """,Danny Cannon,David Rambo & Naren Shankar & Carol Mendelsohn,"October 28, 2004",505,29.60 [97]
98,6,""" What's Eating Gilbert Grissom? """,Kenneth Fink,Sarah Goldfinger,"November 4, 2004",506,30.58 [98]
99,7,"""Formalities""",Bill Eagles,Dustin Lee Abraham & Naren Shankar,"November 11, 2004",507,29.64 [99]
100,8,""" Ch-Ch-Changes """,Richard J. Lewis,Jerry Stahl,"November 18, 2004",508,31.46 [100]
101,9,"""Mea Culpa""",David Grossman,Story by : Carol Mendelsohn & Josh Berman Teleplay by : Josh Berman,"November 25, 2004",509,24.38 [101]
102,10,""" No Humans Involved """,Rob Bailey,Judith McCreary,"December 9, 2004",510,29.83 [102]
103,11,"""Who Shot Sherlock?""",Kenneth Fink,David Rambo & Richard Catalani,"January 6, 2005",511,28.86 [103]
104,12,""" Snakes """,Richard J. Lewis,Dustin Lee Abraham,"January 13, 2005",512,27.55 [104]
105,13,""" Nesting Dolls """,Bill Eagles,Sarah Goldfinger,"February 3, 2005",513,24.95 [105]
106,14,"""Unbearable""",Kenneth Fink,Josh Berman & Carol Mendelsohn,"February 10, 2005",514,27.85 [106]
107,15,"""King Baby""",Richard J. Lewis,Jerry Stahl,"February 17, 2005",515,30.72 [107]
108,16,"""Big Middle""",Bill Eagles,Story by : Dustin Lee Abraham Teleplay by : Naren Shankar & Judith McCreary,"February 24, 2005",516,28.11 [108]
109,17,""" Compulsion """,Duane Clark,Josh Berman & Richard Catalani,"March 10, 2005",517,29.40 [109]
110,18,"""Spark of Life""",Kenneth Fink,Allen MacDonald,"March 31, 2005",518,28.22 [110]
111,19,"""4x4""",Terrence O'Hara,Story by : Sarah Goldfinger & Naren Shankar Teleplay by : Dustin Lee Abraham & David Rambo,"April 14, 2005",519,27.54 [111]
112,20,"""Hollywood Brass""",Bill Eagles,Sarah Goldfinger & Carol Mendelsohn,"April 21, 2005",521,27.02 [112]
113,21,""" Committed """,Richard J. Lewis,Story by : Sarah Goldfinger & Uttam Narsu Teleplay by : Richard J. Lewis,"April 28, 2005",520,23.68 [113]
114,22,""" Weeping Willows """,Kenneth Fink,Areanne Lloyd,"May 5, 2005",522,26.65 [114]
115,23,""" Iced """,Richard J. Lewis,Josh Berman,"May 12, 2005",525,26.46 [115]
116,24,""" Grave Danger """,Quentin Tarantino,Story by : Quentin Tarantino Teleplay by : Naren Shankar & Anthony E. Zuiker & Carol Mendelsohn,"May 19, 2005",523,30.73 [116]
117,25,""" Grave Danger """,Quentin Tarantino,Story by : Quentin Tarantino Teleplay by : Naren Shankar & Anthony E. Zuiker & Carol Mendelsohn,"May 19, 2005",524,30.73 [116]
