	word	killer_gold	medion_time
61	hmm	N	00:01:00.435
81	i	N	00:01:01.424
82	heard	N	00:01:01.424
83	you	N	00:01:01.424
84	got	N	00:01:01.424
85	some	N	00:01:01.424
86	head	N	00:01:01.424
87	just	N	00:01:03.176
88	came	N	00:01:03.176
89	in	N	00:01:03.176
90	how	N	00:01:03.176
91	'd	N	00:01:03.176
92	you	N	00:01:03.176
93	know	N	00:01:03.176
94	i	N	00:01:06.652
95	arranged	N	00:01:06.652
96	house	N	00:01:06.652
97	seats	N	00:01:06.652
98	for	N	00:01:06.652
99	david	N	00:01:06.652
100	to	N	00:01:06.652
101	see	N	00:01:06.652
102	celine	N	00:01:06.652
103	so	N	00:01:06.652
104	he	N	00:01:06.652
105	pages	N	00:01:06.652
106	me	N	00:01:06.652
107	the	N	00:01:06.652
108	minute	N	00:01:06.652
109	you	N	00:01:06.652
110	get	N	00:01:06.652
111	anything	N	00:01:06.652
112	perishable	N	00:01:06.652
113	sellout	N	00:01:09.075
128	oh	N	00:01:15.934
129	formaldehyde	N	00:01:15.934
130	yeah	N	00:01:17.877
131	it	N	00:01:17.877
132	fixes	N	00:01:17.877
133	tissue	N	00:01:17.877
134	but	N	00:01:17.877
135	it	N	00:01:17.877
136	destroys	N	00:01:17.877
137	dna	N	00:01:17.877
138	no	N	00:01:19.792
139	id	N	00:01:19.792
140	through	N	00:01:19.792
141	codis	N	00:01:19.792
142	quite	N	00:01:22.454
143	a	N	00:01:22.454
144	bit	N	00:01:22.454
145	of	N	00:01:22.454
146	leaf	N	00:01:22.454
147	litter	N	00:01:22.454
148	puncture	N	00:01:24.594
149	wound	N	00:01:24.594
150	above	N	00:01:24.594
151	the	N	00:01:24.594
152	orbital	N	00:01:24.594
153	plate	N	00:01:24.594
154	that	N	00:01:27.734
155	looks	N	00:01:27.734
156	like	N	00:01:27.734
157	animal	N	00:01:27.734
158	activity	N	00:01:27.734
159	heavy	N	00:01:29.494
160	decomp	N	00:01:29.494
161	it	N	00:01:32.374
162	's	N	00:01:32.374
163	going	N	00:01:32.374
164	to	N	00:01:32.374
165	be	N	00:01:32.374
166	uh	N	00:01:32.374
167	virtually	N	00:01:32.374
168	impossible	N	00:01:32.374
169	to	N	00:01:32.374
170	determine	N	00:01:32.374
171	time	N	00:01:32.374
172	of	N	00:01:32.374
173	death	N	00:01:32.374
174	this	N	00:01:35.151
175	neck	N	00:01:35.151
176	was	N	00:01:35.151
177	n't	N	00:01:35.151
178	severed	N	00:01:35.151
179	it	N	00:01:36.494
180	was	N	00:01:36.494
181	disarticulated	N	00:01:36.494
182	no	N	00:01:37.837
183	skill	N	00:01:37.837
184	involved	N	00:01:37.837
208	oh-oh	N	00:01:41.767
209	i	N	00:01:42.742
210	take	N	00:01:42.742
211	that	N	00:01:42.742
212	back	N	00:01:42.742
213	that	N	00:01:44.694
214	took	N	00:01:44.694
215	skill	N	00:01:44.694
245	the	N	00:01:52.134
246	unkindest	N	00:01:52.134
247	cut	N	00:01:52.134
248	of	N	00:01:52.134
249	all	N	00:01:52.134
250	hmm	N	00:02:31.874
266	there	N	00:02:34.217
267	's	N	00:02:34.217
268	more	N	00:02:34.217
269	plant	N	00:02:34.217
270	material	N	00:02:34.217
271	here	N	00:02:34.217
272	than	N	00:02:34.217
273	geological	N	00:02:34.217
274	hair	N	00:02:35.575
275	roots	N	00:02:35.575
276	and	N	00:02:35.575
277	scalp	N	00:02:35.575
278	are	N	00:02:35.575
279	relatively	N	00:02:35.575
280	clean	N	00:02:35.575
281	so	N	00:02:39.557
282	the	N	00:02:39.557
283	vic	N	00:02:39.557
284	was	N	00:02:39.557
285	n't	N	00:02:39.557
286	buried	N	00:02:39.557
287	you	N	00:02:40.671
288	tell	N	00:02:40.671
289	me	N	00:02:40.671
290	i	N	00:02:42.634
291	will	N	00:02:42.634
292	leaves	N	00:02:45.204
293	and	N	00:02:45.204
294	needles	N	00:02:45.204
295	and	N	00:02:45.204
296	dirt	N	00:02:45.204
297	that	N	00:02:45.204
298	's	N	00:02:45.204
299	good	N	00:02:45.204
300	as	N	00:02:45.204
301	a	N	00:02:45.204
302	map	N	00:02:45.204
325	any	N	00:02:55.714
326	idea	N	00:02:55.714
327	when	N	00:02:55.714
328	grissom	N	00:02:55.714
329	'll	N	00:02:55.714
330	be	N	00:02:55.714
331	back	N	00:02:55.714
332	nope	N	00:02:57.326
333	it	N	00:02:58.462
334	's	N	00:02:58.462
335	going	N	00:02:58.462
336	to	N	00:02:58.462
337	be	N	00:02:58.462
338	a	N	00:02:58.462
339	while	N	00:02:58.462
350	jackpot	N	00:03:01.254
351	nevada	N	00:03:01.254
352	where	N	00:03:03.315
353	the	N	00:03:03.315
354	hell	N	00:03:03.315
355	is	N	00:03:03.315
356	that	N	00:03:03.315
357	pay	N	00:03:12.184
358	at	N	00:03:12.184
359	the	N	00:03:12.184
360	pump	N	00:03:12.184
390	order	N	00:03:52.734
391	's	N	00:03:52.734
392	up	N	00:03:52.734
393	sweetie	N	00:03:52.734
424	good	N	00:03:59.094
425	morning	N	00:03:59.094
426	i	N	00:04:00.244
427	'm	N	00:04:00.244
428	with	N	00:04:00.244
429	the	N	00:04:00.244
430	lasvegas	N	00:04:00.244
431	crime	N	00:04:00.244
432	lab	N	00:04:00.244
433	and	N	00:04:00.244
434	i	N	00:04:00.244
435	hey	N	00:04:01.494
436	alan	N	00:04:01.494
437	s	N	00:04:02.644
438	guy	N	00:04:02.644
439	's	N	00:04:02.644
440	here	N	00:04:02.644
441	about	N	00:04:02.644
442	the	N	00:04:02.644
443	head	N	00:04:02.644
476	bet	N	00:04:06.055
477	a	N	00:04:06.055
478	wolf	N	00:04:06.055
479	got	N	00:04:06.055
480	him	N	00:04:06.055
481	there	N	00:04:07.947
482	's	N	00:04:07.947
483	no	N	00:04:07.947
484	wolves	N	00:04:07.947
485	around	N	00:04:07.947
486	here	N	00:04:07.947
487	dumbass	N	00:04:07.947
488	bears	N	00:04:09.361
489	ten	N	00:04:11.014
490	bucks	N	00:04:11.014
491	says	N	00:04:11.014
492	satanic	N	00:04:11.014
493	cult	N	00:04:11.014
500	lieutenant	N	00:04:12.534
501	alanbrooks	N	00:04:12.534
502	this	N	00:04:13.684
503	is	N	00:04:13.684
504	my	N	00:04:13.684
505	brother	N	00:04:13.684
506	leland	N	00:04:13.684
507	how	N	00:04:14.955
508	do	N	00:04:14.955
509	you	N	00:04:14.955
510	do	N	00:04:14.955
511	gilgrissom	N	00:04:16.145
512	lasvegas	N	00:04:16.145
513	crime	N	00:04:16.145
514	lab	N	00:04:16.145
515	may	N	00:04:17.469
516	i	N	00:04:17.469
517	have	N	00:04:18.749
518	a	N	00:04:18.749
519	seat	N	00:04:18.749
520	things	N	00:04:21.135
521	must	N	00:04:21.135
522	be	N	00:04:21.135
523	pretty	N	00:04:21.135
524	slow	N	00:04:21.135
525	in	N	00:04:21.135
526	vegas	N	00:04:21.135
527	to	N	00:04:21.135
528	get	N	00:04:21.135
529	one	N	00:04:21.135
530	of	N	00:04:21.135
531	you	N	00:04:21.135
532	guys	N	00:04:21.135
533	out	N	00:04:21.135
534	here	N	00:04:21.135
535	so	N	00:04:21.135
536	quick	N	00:04:21.135
537	well	N	00:04:23.610
538	the	N	00:04:23.610
539	elko	N	00:04:23.610
540	county	N	00:04:23.610
541	sheriff	N	00:04:23.610
542	made	N	00:04:23.610
543	the	N	00:04:23.610
544	request	N	00:04:23.610
545	we	N	00:04:25.073
546	were	N	00:04:25.073
547	happy	N	00:04:25.073
548	to	N	00:04:25.073
549	respond	N	00:04:25.073
550	it	N	00:04:26.536
551	's	N	00:04:26.536
552	an	N	00:04:26.536
553	interesting	N	00:04:26.536
554	case	N	00:04:26.536
555	mmm	N	00:04:28.434
556	not	N	00:04:28.434
557	particularly	N	00:04:28.434
558	it	N	00:04:31.450
559	was	N	00:04:31.450
560	probably	N	00:04:31.450
561	some	N	00:04:31.450
562	hiker	N	00:04:31.450
563	or	N	00:04:31.450
564	transient	N	00:04:31.450
565	who	N	00:04:31.450
566	got	N	00:04:31.450
567	lost	N	00:04:31.450
568	took	N	00:04:31.450
569	a	N	00:04:31.450
570	bad	N	00:04:31.450
571	luck	N	00:04:31.450
572	fall	N	00:04:31.450
573	must	N	00:04:35.167
574	have	N	00:04:35.167
575	been	N	00:04:35.167
576	a	N	00:04:35.167
577	heck	N	00:04:35.167
578	of	N	00:04:35.167
579	a	N	00:04:35.167
580	fall	N	00:04:35.167
581	his	N	00:04:36.781
582	head	N	00:04:36.781
583	's	N	00:04:36.781
584	in	N	00:04:36.781
585	a	N	00:04:36.781
586	plastic	N	00:04:36.781
587	jar	N	00:04:36.781
588	listen	N	00:04:38.217
589	i	N	00:04:38.217
590	filed	N	00:04:38.217
591	the	N	00:04:38.217
592	report	N	00:04:38.217
593	i	N	00:04:39.291
594	sent	N	00:04:39.291
595	in	N	00:04:39.291
596	the	N	00:04:39.291
597	head	N	00:04:39.291
598	five	N	00:04:41.795
599	'll	N	00:04:41.795
600	get	N	00:04:41.795
601	you	N	00:04:41.795
602	ten	N	00:04:41.795
603	there	N	00:04:41.795
604	's	N	00:04:41.795
605	not	N	00:04:41.795
606	much	N	00:04:41.795
607	left	N	00:04:41.795
608	of	N	00:04:41.795
609	that	N	00:04:41.795
610	body	N	00:04:41.795
611	out	N	00:04:41.795
612	there	N	00:04:41.795
613	but	N	00:04:41.795
614	coyote	N	00:04:41.795
615	turds	N	00:04:41.795
618	look	N	00:04:46.640
619	nobody	N	00:04:46.640
620	from	N	00:04:46.640
621	this	N	00:04:46.640
622	community	N	00:04:46.640
623	's	N	00:04:46.640
624	been	N	00:04:46.640
625	reported	N	00:04:46.640
626	missing	N	00:04:46.640
627	and	N	00:04:49.754
628	i	N	00:04:49.754
629	just	N	00:04:49.754
630	do	N	00:04:49.754
631	n't	N	00:04:49.754
632	have	N	00:04:49.754
633	the	N	00:04:49.754
634	resources	N	00:04:49.754
635	to	N	00:04:49.754
636	go	N	00:04:49.754
637	searching	N	00:04:49.754
638	for	N	00:04:49.754
639	what	N	00:04:49.754
640	might	N	00:04:49.754
641	be	N	00:04:49.754
642	left	N	00:04:49.754
643	well	N	00:04:52.494
644	you	N	00:04:52.494
645	do	N	00:04:52.494
646	now	N	00:04:52.494
647	there	N	00:04:55.349
648	'd	N	00:04:55.349
649	better	N	00:04:55.349
650	be	N	00:04:55.349
651	a	N	00:04:55.349
652	whole	N	00:04:55.349
653	lot	N	00:04:55.349
654	more	N	00:04:55.349
655	of	N	00:04:55.349
656	you	N	00:04:55.349
657	out	N	00:04:55.349
658	there	N	00:04:55.349
668	have	N	00:04:57.249
669	a	N	00:04:57.249
670	good	N	00:04:57.249
671	one	N	00:04:57.249
672	marty	N	00:04:57.249
680	lieutenant	N	00:05:06.514
681	the	N	00:05:06.514
682	preliminary	N	00:05:06.514
683	autopsy	N	00:05:06.514
684	revealed	N	00:05:06.514
685	a	N	00:05:06.514
686	single	N	00:05:06.514
687	straight	N	00:05:06.514
688	two-inch	N	00:05:06.514
689	cut	N	00:05:06.514
690	on	N	00:05:06.514
691	the	N	00:05:06.514
692	victim	N	00:05:06.514
693	's	N	00:05:06.514
694	jaw	N	00:05:06.514
695	it	N	00:05:11.164
696	was	N	00:05:11.164
697	a	N	00:05:11.164
698	blade	N	00:05:11.164
699	mark	N	00:05:11.164
700	so	N	00:05:13.795
701	there	N	00:05:13.795
702	's	N	00:05:13.795
703	not	N	00:05:13.795
704	just	N	00:05:13.795
705	a	N	00:05:13.795
706	body	N	00:05:13.795
707	out	N	00:05:13.795
708	there	N	00:05:13.795
709	there	N	00:05:13.795
710	's	N	00:05:13.795
711	also	N	00:05:13.795
712	a	N	00:05:13.795
713	killer	Y	00:05:13.795
724	of	N	00:05:19.314
725	all	N	00:05:19.314
726	the	N	00:05:19.314
727	plant	N	00:05:19.314
728	life	N	00:05:19.314
729	gathered	N	00:05:19.314
730	from	N	00:05:19.314
731	the	N	00:05:19.314
732	head	N	00:05:19.314
733	the	N	00:05:19.314
734	conifers	N	00:05:19.314
735	are	N	00:05:19.314
736	the	N	00:05:19.314
737	key	N	00:05:19.314
738	the	N	00:05:22.434
739	one	N	00:05:22.434
740	on	N	00:05:22.434
741	the	N	00:05:22.434
742	left	N	00:05:22.434
743	abies	N	00:05:22.434
744	zasiocarpa	N	00:05:22.434
745	the	N	00:05:26.075
746	one	N	00:05:26.075
747	on	N	00:05:26.075
748	the	N	00:05:26.075
749	right	N	00:05:26.075
750	is	N	00:05:26.075
751	picea	N	00:05:26.075
752	engelmannii	N	00:05:26.075
753	engelmann	N	00:05:26.075
754	spruce	N	00:05:26.075
755	spruce	N	00:05:29.294
756	and	N	00:05:29.294
757	fir	N	00:05:29.294
758	trees	N	00:05:29.294
759	typical	N	00:05:32.316
760	mountain	N	00:05:32.316
761	forest	N	00:05:32.316
762	typical	N	00:05:34.151
763	for	N	00:05:34.151
764	9,000	N	00:05:34.151
765	feet	N	00:05:34.151
766	above	N	00:05:34.151
767	sea	N	00:05:34.151
768	level	N	00:05:34.151
769	the	N	00:05:36.535
770	wood	N	00:05:36.535
771	fragments	N	00:05:36.535
772	are	N	00:05:36.535
773	either	N	00:05:36.535
774	cottonwood	N	00:05:36.535
775	or	N	00:05:36.535
776	aspen	N	00:05:36.535
777	and	N	00:05:39.094
778	aspens	N	00:05:39.094
779	only	N	00:05:39.094
780	grow	N	00:05:39.094
781	in	N	00:05:39.094
782	areas	N	00:05:39.094
783	that	N	00:05:39.094
784	have	N	00:05:39.094
785	been	N	00:05:39.094
786	cleared	N	00:05:39.094
787	fire	N	00:05:42.479
788	roads	N	00:05:42.479
789	or	N	00:05:42.479
790	logging	N	00:05:42.479
791	after	N	00:05:46.874
792	a	N	00:05:46.874
793	major	N	00:05:46.874
794	forest	N	00:05:46.874
795	fire	N	00:05:46.874
796	manzanita	N	00:05:46.874
797	bushes	N	00:05:46.874
798	grow	N	00:05:46.874
799	like	N	00:05:46.874
800	weeds	N	00:05:46.874
801	for	N	00:05:46.874
802	decades	N	00:05:46.874
803	no	N	00:05:50.654
804	manzanita	N	00:05:50.654
805	leaves	N	00:05:50.654
806	here	N	00:05:50.654
807	which	N	00:05:55.274
808	means	N	00:05:55.274
809	that	N	00:05:55.274
810	the	N	00:05:55.274
811	head	N	00:05:55.274
812	was	N	00:05:55.274
813	on	N	00:05:55.274
814	a	N	00:05:55.274
815	damp	N	00:05:55.274
816	north-facing	N	00:05:55.274
817	slope	N	00:05:55.274
818	at	N	00:05:55.274
819	least	N	00:05:55.274
820	9,000	N	00:05:55.274
821	feet	N	00:05:55.274
822	up	N	00:05:55.274
823	cleared	N	00:05:55.274
824	but	N	00:05:55.274
825	not	N	00:05:55.274
826	recently	N	00:05:55.274
827	exposed	N	00:05:55.274
828	to	N	00:05:55.274
829	fire	N	00:05:55.274
843	grissom	N	00:05:59.835
844	is	N	00:06:02.534
845	the	N	00:06:02.534
846	service	N	00:06:02.534
847	actually	N	00:06:02.534
848	bad	N	00:06:02.534
849	out	N	00:06:02.534
850	there	N	00:06:02.534
851	or	N	00:06:02.534
852	are	N	00:06:02.534
853	you	N	00:06:02.534
854	just	N	00:06:02.534
855	keeping	N	00:06:02.534
856	your	N	00:06:02.534
857	phone	N	00:06:02.534
858	off	N	00:06:02.534
859	i	N	00:06:04.686
860	'm	N	00:06:04.686
861	sorry	N	00:06:04.686
862	i	N	00:06:05.422
863	should	N	00:06:05.422
864	've	N	00:06:05.422
865	called	N	00:06:05.422
866	this	N	00:06:07.614
867	trip	N	00:06:07.614
868	would	N	00:06:07.614
869	n't	N	00:06:07.614
870	have	N	00:06:07.614
871	anything	N	00:06:07.614
872	to	N	00:06:07.614
873	do	N	00:06:07.614
874	with	N	00:06:07.614
875	you	N	00:06:07.614
876	ducking	N	00:06:07.614
877	case	N	00:06:07.614
878	reviews	N	00:06:07.614
879	now	N	00:06:07.614
880	would	N	00:06:07.614
881	it	N	00:06:07.614
882	how	N	00:06:10.256
883	can	N	00:06:10.256
884	you	N	00:06:10.256
885	think	N	00:06:10.256
886	that	N	00:06:10.256
887	you	N	00:06:11.891
888	would	N	00:06:11.891
889	n't	N	00:06:11.891
890	mind	N	00:06:11.891
891	taking	N	00:06:11.891
892	care	N	00:06:11.891
893	of	N	00:06:11.891
894	those	N	00:06:11.891
895	for	N	00:06:11.891
896	me	N	00:06:11.891
897	would	N	00:06:11.891
898	you	N	00:06:11.891
899	oh	N	00:06:13.387
900	your	N	00:06:13.387
